id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type
0054173753,California,CA,06,Santa Clara County,085,CoreSite,SV6,CoreSite SV6,61065.0,-121.97208379973041,37.37630188023717,building
0054173755,California,CA,06,Santa Clara County,085,CoreSite,SV8,CoreSite SV8,41609.0,-121.97184005109762,37.377382657506814,building
0054383196,California,CA,06,Santa Clara County,085,CoreSite,SV5,CoreSite SV5,50856.0,-121.97068979280725,37.37519609854625,building
0054383197,California,CA,06,Santa Clara County,085,CoreSite,SV9,CoreSite SV9,60403.0,-121.9696099700251,37.37555851580601,building
0059294476,Virginia,VA,51,Loudoun County,107,Stack Infrastructure,NVA01A,STACK NVA01A - Northern Virginia,179330.0,-77.4417640679728,39.00469915120877,building
0063619642,Minnesota,MN,27,Hennepin County,053,,,Minnesota Gateway Data Center,87697.0,-93.25465186805063,44.97130185223087,building
0069827429,New York,NY,36,Albany County,001,,,IBM Building,15355.0,-73.7527452452726,42.64935307487593,building
0071187940,Michigan,MI,26,Wayne County,163,Verizon Wireless,DTRT.PP2,,24933.0,-83.07698605760793,42.326266382363755,building
0079056848,New Hampshire,NH,33,Strafford County,017,University of New Hampshire,,,30553.0,-70.95247263069142,43.14361852296161,building
0079158387,Virginia,VA,51,Fairfax County,059,Digital Realty,VA3,VA3,95304.0,-77.32728436918103,38.94844596490111,building
0079159494,Virginia,VA,51,Fairfax County,059,Evocative,IAD1,IAD1,19325.0,-77.32940997255484,38.94881628378597,building
0079298926,Virginia,VA,51,Fairfax County,059,,,CoreSite Reston Campus VA1,138035.0,-77.36454759512178,38.95058588448764,building
0079818498,Virginia,VA,51,Fairfax County,059,CoreSite,,CoreSite Reston VA3,249707.0,-77.37236980053557,38.948467566955635,building
0089784186,Colorado,CO,08,Denver County,031,,,Insurance Exchange Building,19807.0,-104.99569107454519,39.74557178496544,building
0093210344,Maryland,MD,24,Montgomery County,031,Lincoln Rackhouse,,Lincoln Rackhouse Maryland,146301.0,-76.9643217094945,39.05856287562289,building
0095349317,Ohio,OH,39,Warren County,165,,,CyrusOne Cincinnati-Lebanon,198403.0,-84.22187533686325,39.389018744445785,building
0095782052,New Jersey,NJ,34,Hudson County,017,Equinix,NY7,Equinix NY7 Data Center,68650.0,-74.03114084308724,40.79686366512242,building
0099813512,California,CA,06,Santa Clara County,085,Equinix,SV4,Equinix SV4,122369.0,-122.01457953832227,37.41456431406775,building
0104082694,Iowa,IA,19,Polk County,153,,,Aureon,11253.0,-93.63100934776038,41.58799896569892,building
0109458128,New York,NY,36,New York County,061,Sabey Data Centers,,Intergate Manhattan,31710.0,-74.0012044311589,40.710888705073685,building
0116005354,North Carolina,NC,37,Catawba County,035,,,,564402.0,-81.26252687782907,35.58801263784184,building
0122665255,Connecticut,CT,09,Greater Bridgeport Planning Region,120,Digital Realty,HVN10,Digital Realty New York HVN10,134982.0,-73.14729941546841,41.24084597137587,building
0124088810,Illinois,IL,17,DuPage County,043,,,Lincoln Rackhouse,70123.0,-88.21709086831734,41.77216480463178,building
0128499684,Illinois,IL,17,Cook County,031,Digital Realty,CH1,Digital Realty CH1,469756.0,-87.96217216116061,41.9942374288397,building
0131891022,Arizona,AZ,04,Maricopa County,013,,,Iron Mountain Records Storage,145832.0,-112.04132578020345,33.42038002636909,building
0132746406,California,CA,06,Santa Clara County,085,Equinix,SV8,Equinix SV8,12601.0,-122.16077646434917,37.445896948246855,building
0138260136,Illinois,IL,17,Champaign County,019,,,NCSA Petascale Computing Facility,45620.0,-88.2420314008415,40.09525910725613,building
0138643160,Ohio,OH,39,Clark County,023,,,LexisNexus Springfield,79937.0,-83.72376141562715,39.912780083635845,building
0147350175,Illinois,IL,17,Cook County,031,CoreSite Data Center,,Telegraph Building,26299.0,-87.63147664546159,41.876155799821596,building
0149379943,Illinois,IL,17,Cook County,031,Digital Realty,ORD11,Digital Realty ORD11,9092.0,-87.6299544230129,41.87429345515449,building
0151179323,Arizona,AZ,04,Maricopa County,013,Lumen Technologies,,Lumen,25456.0,-112.07078574012118,33.49433566334995,building
0152163711,Arizona,AZ,04,Maricopa County,013,,,L3Harris Technologies Inc,14469.0,-111.67170400659428,33.30535847275577,building
0152163722,Arizona,AZ,04,Maricopa County,013,,,AZ Labs,31625.0,-111.67170030901957,33.30627197658142,building
0152449872,Illinois,IL,17,Cook County,031,Serverfarm,CH1,Serverfarm CH1,56419.0,-87.64014138667577,41.87094383200688,building
0155739337,Arizona,AZ,04,Maricopa County,013,,,Aligned Energy Data Center,512814.0,-112.11116815143933,33.65904093265778,building
0156468497,Virginia,VA,51,Fairfax County,059,,,,19578.0,-77.2258381321817,38.91370196268697,building
0156520409,Illinois,IL,17,Cook County,031,,,Lakeside Technology Center,129156.0,-87.6183592533761,41.85365260504632,building
0157362579,Arizona,AZ,04,Maricopa County,013,Flexential,,Flexential Phoenix - Deer Valley,110023.0,-112.09835688433343,33.684674135493076,building
0161126131,California,CA,06,Santa Clara County,085,Equinix,SV5,Equinix SV5,166314.0,-121.78183927929481,37.24204046852016,building
0168129695,Pennsylvania,PA,42,Allegheny County,003,,,DataBank Pittsburgh PIT2,60007.0,-80.1901183810463,40.4513685262094,building
0169170979,New Mexico,NM,35,Bernalillo County,001,,,Molina Healthcare,25568.0,-106.61803444531762,34.995445919501066,building
0172739950,Nevada,NV,32,Clark County,003,Switch,,Switch12,378533.0,-115.21329217816584,36.06173888983835,building
0172739953,Nevada,NV,32,Clark County,003,Switch,,Switch Las Vegas 7,324714.0,-115.2102454849461,36.0599251525617,building
0174242795,Illinois,IL,17,Cook County,031,EdgeConneX,CHI01,EdgeConneX CHI01,117212.0,-87.95079654356604,42.00076800737207,building
0187574082,New Jersey,NJ,34,Middlesex County,023,,,Verizon Wireline Network Building,32247.0,-74.44309493368364,40.494903131723454,building
0190868312,California,CA,06,Sacramento County,067,NTT,CA3,RagingWire CA3,151366.0,-121.49876273285925,38.64423935185345,building
0191655977,Iowa,IA,19,Pottawattamie County,155,,,,227733.0,-95.86382197433595,41.22148561735032,building
0192307107,California,CA,06,San Francisco County,075,Digital Realty,,360 Spear Street Data Center,34599.0,-122.39013668484701,37.7889916560582,building
0193611192,New Jersey,NJ,34,Hudson County,017,Equinix,,Equinix New York Secaucus NY5,211455.0,-74.07230107005046,40.778601776828154,building
0193611211,New Jersey,NJ,34,Hudson County,017,Equinix,NY4,Equinix New York Secaucus NY4,317271.0,-74.06977591206658,40.77642808061452,building
0193611219,New Jersey,NJ,34,Hudson County,017,Equinix,NY2,Equinix New York Secaucus NY2,402960.0,-74.07591693201753,40.77741950863345,building
0193612533,New Jersey,NJ,34,Hudson County,017,,,AT&T Secaucus Enterprise Data Center,143163.0,-74.06918218107636,40.786164392038025,building
0194049551,California,CA,06,Sacramento County,067,Quality Technology Services,,QTS Sacramento,90196.0,-121.48622274444375,38.64634932685158,building
0195165330,Missouri,MO,29,Platte County,165,,,,59078.0,-94.67586457208311,39.2906006524332,building
0195165354,Missouri,MO,29,Platte County,165,,,,240121.0,-94.67347189936218,39.29565786992253,building
0195165374,Missouri,MO,29,Platte County,165,,,Black Rock Financial Management,80025.0,-94.67802527416188,39.295491746601805,building
0195169261,Missouri,MO,29,Platte County,165,,,,51140.0,-94.6847918000035,39.30240570006526,building
0195664350,Oklahoma,OK,40,Tulsa County,143,,,Cherokee Data Center,414827.0,-95.91003132519961,36.262546063389934,building
0199252950,Illinois,IL,17,DuPage County,043,,,CyrusOne Chicago Aurora CME,456668.0,-88.24353714429098,41.796673813310484,building
0200989527,Colorado,CO,08,Arapahoe County,005,,,Xfinity/Comcast Data Center,51338.0,-104.83243481918149,39.58830727917687,building
0203432103,Indiana,IN,18,Monroe County,105,Indiana University,,IU Data Center,94288.0,-86.50070261861606,39.17441899239106,building
0204316962,New Jersey,NJ,34,Middlesex County,023,,,IO Datacenter,829908.0,-74.34731684357497,40.520901338871916,building
0204460681,New Jersey,NJ,34,Middlesex County,023,,,DataBank Piscataway EWR2,50646.0,-74.45820961832148,40.54921344851485,building
0204460799,New Jersey,NJ,34,Middlesex County,023,,,Optimum,68126.0,-74.49202896228643,40.54682624136092,building
0204460812,New Jersey,NJ,34,Middlesex County,023,Equinix,,Equinix,62331.0,-74.49538057530054,40.544881931883474,building
0204460835,New Jersey,NJ,34,Middlesex County,023,Barclays,,Barclays Datacenter,352286.0,-74.45973725576992,40.5472442650833,building
0204460903,New Jersey,NJ,34,Middlesex County,023,Digital Realty,EWR12,Digital Realty New York EWR12,302795.0,-74.45930065392974,40.5529045023767,building
0204460950,New Jersey,NJ,34,Middlesex County,023,Digital Realty,EWR11,Digital Realty New York EWR11,96114.0,-74.45717948167879,40.55377882278532,building
0205724881,Washington,WA,53,King County,033,,,Intergate Seattle East Building 2,107319.0,-122.29056964991395,47.49503090192437,building
0205724885,Washington,WA,53,King County,033,Sabey,,Intergate Seattle East Building 1,97862.0,-122.28819434180774,47.49485963017304,building
0205823968,California,CA,06,Santa Clara County,085,Equinix,SV15,Equinix SV15,38211.0,-121.98840629999835,37.3754951498238,building
0205823970,California,CA,06,Santa Clara County,085,Equinix,SV16,Equinix SV16,26347.0,-121.98868795324002,37.37611802320719,building
0205823971,California,CA,06,Santa Clara County,085,Equinix,SV17,Equinix SV17,42360.0,-121.98858391314205,37.37652899594956,building
0205823980,California,CA,06,Santa Clara County,085,Equinix,SV14,Equinix SV14,20213.0,-121.98850932446409,37.37496213850432,building
0205846843,California,CA,06,Santa Clara County,085,CoreSite,SV4,CoreSite SV4,51928.0,-121.97068417339611,37.376263105040294,building
0209073635,California,CA,06,Santa Clara County,085,Lumen Technologies,,Lumen Santa Clara,25424.0,-121.95208193297097,37.37700481451303,building
0209073636,California,CA,06,Santa Clara County,085,Prime,,Prime Santa Clara,30065.0,-121.95322523327961,37.37500511660042,building
0209073641,California,CA,06,Santa Clara County,085,Digital Realty,SJC10,Digital Realty Silicon Valley SJC10,57051.0,-121.95333535904547,37.375822905793704,building
0209073645,California,CA,06,Santa Clara County,085,,,Colovore,24161.0,-121.95314883048796,37.37672946683328,building
0209073647,California,CA,06,Santa Clara County,085,Digital Realty,SJC30,Digital Realty Silicon Valley SJC30,48539.0,-121.95810528697963,37.37828897395487,building
0209073649,California,CA,06,Santa Clara County,085,Digital Realty,SJC15,Digital Realty Silicon Valley SJC15,24615.0,-121.95407689999966,37.374996550088426,building
0209073653,California,CA,06,Santa Clara County,085,Digital Realty,SJC16,Digital Realty Silicon Valley SJC16,42504.0,-121.9559861698452,37.37492909708269,building
0209073657,California,CA,06,Santa Clara County,085,Digital Realty,,Digital Realty Silicon Valley SJC29,40287.0,-121.95809620000126,37.37502320043753,building
0209073659,California,CA,06,Santa Clara County,085,Prime,,Prime SANTA CLARA DATA CENTER,25825.0,-121.95488070140483,37.37502630609213,building
0209076412,California,CA,06,Santa Clara County,085,Digital Realty,,Digital Realty,44027.0,-121.94853104740695,37.3763410080539,building
0209077298,California,CA,06,Santa Clara County,085,Lumen Technologies,,Lumen,15840.0,-121.95068207526988,37.377584795732375,building
0209087373,California,CA,06,Santa Clara County,085,Digital Realty,,2805 Lafayette Street,146597.0,-121.9483289304616,37.372249898204316,building
0209105766,California,CA,06,Santa Clara County,085,,,,18864.0,-121.9499100438154,37.379779111635564,building
0209786637,Illinois,IL,17,Cook County,031,Quality Technology Services,,QTS Chicago,267112.0,-87.66900814712955,41.84218652884067,building
0210222970,Illinois,IL,17,Cook County,031,,,Iron Mountain Data & Record Storage,106033.0,-87.64550983406527,41.84879669155961,building
0210917861,Arizona,AZ,04,Maricopa County,013,,,Data Storage Centers,38109.0,-112.03430310768363,33.421692874680694,building
0211832626,Massachusetts,MA,25,Essex County,009,TierPoint,,,51354.0,-71.20859932011268,42.68570898649228,building
0215630401,North Carolina,NC,37,Mecklenburg County,119,Flexential,,Flexential Charlotte - South,33741.0,-80.93687158006364,35.13543064967394,building
0220518160,Arizona,AZ,04,Maricopa County,013,Digital Realty,,Digital Realty Data Center,67568.0,-111.899226799974,33.34464820831519,building
0221201212,Washington,WA,53,King County,033,Comcast,,,8025.0,-122.31731718771367,47.69332367380437,building
0221897579,Virginia,VA,51,Fairfax County,059,,,Equinix DC97,43991.0,-77.37742307519908,38.96157142283795,building
0222672860,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD55,Amazon IAD-55,228140.0,-77.64876376105128,38.81506150876172,building
0223783259,Washington,WA,53,King County,033,,,CTI Biopharma,20600.0,-122.35669303335187,47.61778780579821,building
0223928497,Washington,WA,53,King County,033,Digital Realty,SEA10,Westin Building,13117.0,-122.33886422516163,47.61435537680634,building
0224100721,Virginia,VA,51,Prince William County,153,,,COPT Data Center,127955.0,-77.5318452938603,38.747281206256844,building
0224174031,California,CA,06,Santa Clara County,085,SV Colo,,SV Colo,57709.0,-121.9587992678193,37.36431021578032,building
0224998784,California,CA,06,Santa Clara County,085,Microsoft,,,166655.0,-121.94643635591544,37.36206620920108,building
0225745958,Virginia,VA,51,Fauquier County,061,,,OVH US East Vint Hill,85783.0,-77.67445377449387,38.74744469757881,building
0231047065,Wyoming,WY,56,Laramie County,021,University Corporation for Atmospheric Research,,NCAR-Wyoming Supercomputing Center,101129.0,-104.89748679471975,41.12879048730292,building
0231664575,Washington,WA,53,King County,033,H5 Data Centers,,The Seattle Times,48589.0,-122.33646162358502,47.6189848283978,building
0231769626,Oregon,OR,41,Wasco County,065,Google,,Google Data Center The Dalles Oregon,1487396.0,-121.20130223060461,45.632047991657046,campus
0233888384,North Carolina,NC,37,Wake County,183,,,Segra Data Center,46141.0,-78.66236321040674,35.724992093646854,building
0234722029,Virginia,VA,51,Loudoun County,107,Equinix,DC2,Equinix Ashburn DC2,175215.0,-77.45900624552966,39.016470708222904,building
0234722720,Virginia,VA,51,Loudoun County,107,H5,Ashburn,H5 Data Centers Ashburn,83656.0,-77.45171989501625,39.01367498906444,building
0239032142,South Dakota,SD,46,Minnehaha County,099,,,TierPoint Sioux Falls West Data Center,55963.0,-96.80919489840309,43.60697077791878,building
0239147373,Virginia,VA,51,Fairfax County,059,Lumen Technologies,,Lumen McLean,42056.0,-77.21161871839628,38.920020715978985,building
0239147724,Virginia,VA,51,Fairfax County,059,DataBank,IAD2,DataBank McLean IAD2,22957.0,-77.21358499990595,38.919905150298106,building
0240724127,Utah,UT,49,Salt Lake County,035,,,eBay,183167.0,-112.04772494385753,40.5637493311281,building
0244490839,Arizona,AZ,04,Maricopa County,013,,,PhoenixNAP,79223.0,-112.00942632468968,33.41605053769886,building
0250052753,New York,NY,36,New York County,061,,,32 Avenue of the Americas,42396.0,-74.00463586981833,40.719998478665225,building
0251716328,Virginia,VA,51,Fairfax County,059,Digital Realty,,Digital Realty,72337.0,-77.47258021616551,38.910132702732945,building
0253682978,Missouri,MO,29,St. Louis city,510,,,TierPoint,24039.0,-90.1964202669285,38.62976100794761,building
0254583328,Nevada,NV,32,Clark County,003,,,Verizon,25884.0,-115.07792815622403,36.144732607348836,building
0254742608,Texas,TX,48,Bexar County,029,,A,,127563.0,-98.64069026748369,29.446674202615256,building
0254742609,Texas,TX,48,Bexar County,029,,B,,142712.0,-98.64112862038242,29.44792213625347,building
0254742610,Texas,TX,48,Bexar County,029,,Connector,,36014.0,-98.64099341797508,29.44719900936573,building
0254773884,Texas,TX,48,Collin County,085,,,,121665.0,-96.68156543918735,33.095994313633625,building
0254773897,Texas,TX,48,Collin County,085,Centersquare,DA1,Evoque Allen DA1,114534.0,-96.68376373847303,33.09506355613131,building
0256728809,Nebraska,NE,31,Douglas County,055,,,,69219.0,-95.93649511237066,41.26141936949243,building
0257581364,Virginia,VA,51,Henrico County,087,Flexential,,Flexential - Richmond,39778.0,-77.43869516745981,37.64689021155882,building
0258343744,Virginia,VA,51,Fairfax County,059,Amazon Web Services,IAD-9,Amazon IAD-9,85855.0,-77.453440411722,38.899651693214054,building
0258343748,Virginia,VA,51,Fairfax County,059,,,Amazon IAD22,30140.0,-77.45510184070243,38.89790175442311,building
0258343749,Virginia,VA,51,Fairfax County,059,Amazon Web Services,IAD-1,Amazon IAD-1,93882.0,-77.45407518694847,38.89785914212502,building
0258519934,Virginia,VA,51,Fairfax County,059,,,,43330.0,-77.47224542805822,38.90924510953836,building
0258519959,Virginia,VA,51,Fairfax County,059,,,,32222.0,-77.47346579109487,38.90979813235743,building
0260996040,Virginia,VA,51,Fairfax County,059,,,,56049.0,-77.19627275728058,38.75081659536996,building
0269166415,Georgia,GA,13,Fulton County,121,,,Cox Data Center,127858.0,-84.31955321505815,34.03620188757935,building
0269847438,Georgia,GA,13,Fulton County,121,Quality Technology Services,,QTS Atlanta Data Center 1,719736.0,-84.42109985598158,33.7776811736858,building
0273895868,Virginia,VA,51,Loudoun County,107,Cyxtera,DC7,Cyxtera Sterling DC7,130748.0,-77.44424695215189,38.98092474637894,building
0273896089,Virginia,VA,51,Loudoun County,107,,Cyxtera IAD2-A,,48153.0,-77.42381651986251,38.98441813209926,building
0273896096,Virginia,VA,51,Loudoun County,107,CyrusOne,CyrusOne Northern Virginia Sterling IV,,127744.0,-77.42564884364357,38.984886746753254,building
0273896102,Virginia,VA,51,Loudoun County,107,,Cyxtera IAD2-B,,71819.0,-77.42410521314366,38.98360375263324,building
0278560778,Georgia,GA,13,Fulton County,121,Digital Realty,,Digital Realty Data Center,128785.0,-84.41520253319351,33.65703230386123,building
0279410762,New Jersey,NJ,34,Hudson County,017,Cyxtera,,Cyxtera (Digital Realty Trust) Citibank Data Center,58356.0,-74.02575833881977,40.76076492901499,building
0279410766,New Jersey,NJ,34,Hudson County,017,Digital Realty,EWR10,Digital Realty New Jersey EWR10,126960.0,-74.0250249144998,40.761831079828376,building
0283051469,Washington,WA,53,Grant County,025,,,,151976.0,-119.81322935255957,47.24621227884292,building
0283051470,Washington,WA,53,Grant County,025,,,,133363.0,-119.81318678101925,47.247652474792254,building
0283051471,Washington,WA,53,Grant County,025,,,,135310.0,-119.81575602489733,47.24616793078344,building
0283051472,Washington,WA,53,Grant County,025,Sabey Data Centers,,Intergate Quincy Data Center,4318512.0,-119.81593119578889,47.24532712863972,campus
0283051474,Washington,WA,53,Grant County,025,Intuit,,H5 Data Center,2700606.0,-119.81875311909133,47.25141148987495,campus
0283051475,Washington,WA,53,Grant County,025,,,,246778.0,-119.81966487505578,47.2525738060569,building
0283051477,Washington,WA,53,Grant County,025,Yahoo,,Yahoo Data Center,2171282.0,-119.82778184373045,47.246984537637,campus
0283051478,Washington,WA,53,Grant County,025,,,,151213.0,-119.82886591661293,47.24673555311077,building
0283051481,Washington,WA,53,Grant County,025,,,,35848.0,-119.8297911817926,47.245991414310225,building
0283051482,Washington,WA,53,Grant County,025,,,,35925.0,-119.8291703,47.24598939949083,building
0283051483,Washington,WA,53,Grant County,025,,,,33824.0,-119.82815880653996,47.24598937431326,building
0283051484,Washington,WA,53,Grant County,025,,,,33688.0,-119.82754149992971,47.24600329947971,building
0283051485,Washington,WA,53,Grant County,025,,,,19067.0,-119.82866158737185,47.24606673682079,building
0283051487,Washington,WA,53,Grant County,025,,,NTTData Data Center,3068566.0,-119.86463264336115,47.24435998530277,campus
0283051493,Washington,WA,53,Grant County,025,,,,484313.0,-119.86321170683881,47.2402244353439,building
0284044002,Georgia,GA,13,Cobb County,067,datasite,Atlanta,DataSite Atlanta,77660.0,-84.48161598883719,33.92551125989177,building
0288909509,Missouri,MO,29,Platte County,165,,,,30923.0,-94.68505095083452,39.290121050497994,building
0289620443,California,CA,06,San Francisco County,075,Digital Realty,SFO10,Digital Realty San Francisco SFO10,104867.0,-122.39793596994733,37.7236016950597,building
0289884123,New York,NY,36,New York County,061,,,33 Thomas Street,30791.0,-74.0059130609563,40.7165249817088,building
0290101976,Idaho,ID,16,Madison County,065,,,VentureData,18269.0,-111.78209278694163,43.82524323217676,building
0292506449,Colorado,CO,08,Arapahoe County,005,,,,108473.0,-104.84696328231581,39.59013144249605,building
0292506452,Colorado,CO,08,Arapahoe County,005,,,zColo by Zayo,62177.0,-104.84703864109652,39.591351747526645,building
0293211683,Washington,WA,53,King County,033,Sabey,,Intergate Seattle East Building 5,200124.0,-122.28973615206532,47.49191977023955,building
0293211686,Washington,WA,53,King County,033,Sabey,,Intergate Seattle East Building 3,203387.0,-122.29030164481166,47.49355623811284,building
0293211687,Washington,WA,53,King County,033,Digital Realty,,Intergate Seattle East Building 4,116828.0,-122.28885825770003,47.49341087440766,building
0296374269,Pennsylvania,PA,42,Lehigh County,077,Flexential,,Flexential Allentown data center,48995.0,-75.45757328328773,40.635695315852814,building
0298126010,Virginia,VA,51,Loudoun County,107,Digital Realty,ACC4,Digital Realty ACC4,294156.0,-77.46254912313509,39.017901791124075,building
0298127059,Virginia,VA,51,Loudoun County,107,Equinix,DC1,Equinix Ashburn DC1,59757.0,-77.46032653997727,39.01556033255059,building
0298127361,Virginia,VA,51,Loudoun County,107,Equinix,DC5,Equinix Ashburn DC5,94665.0,-77.46124798163915,39.01598729633223,building
0298127420,Virginia,VA,51,Loudoun County,107,Equinix,DC11,Equinix Ashburn DC11,132897.0,-77.45880365175543,39.014930750375306,building
0298242260,Virginia,VA,51,Loudoun County,107,Equinix,DC3,Equinix Ashburn DC3,186227.0,-77.4602871035629,39.021947987272775,building
0298242335,Virginia,VA,51,Loudoun County,107,Digital Realty,ACC3,Digital Realty ACC3,151562.0,-77.45984179886374,39.01993590507545,building
0299388896,California,CA,06,Santa Clara County,085,"CoreSite Real Estate 1656 McCarthy, L.P.",SV2,CoreSite SV2,89939.0,-121.91624119521207,37.40568310648505,building
0299927846,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD-76,Amazon IAD-76,138071.0,-77.45050945562221,38.993785281689334,building
